Program_Type,Program_Code,Faculty,Department,DEPARTMENT_ID,Program,Type_of_Program,Includes_Degree_Types,Author,Approver
Academic,AC0010,Education,Faculty of Education,221,Education,Undergraduate Degree,BEd,Lyndon Martin,Ron Owston
Academic,AC0030,Education,Faculty of Education,221,Diploma in Teacher Preparation in the Education of Deaf and Hard-of-Hearing Students,Non-Degree Studies,Non-Degree Studies,Pam Millett,Ron Owston
Academic,AC0060,Education,Faculty of Education,221,Education,Graduate Degree,"MEd, GD T 2&3",Sandra Schecter,Ron Owston
Academic,AC0070,Education,Faculty of Education,221,Education,Graduate Degree,"PhD, GD T 2&3",Sandra Schecter,Ron Owston
Academic,AC0090,Env Studies,Faculty of Environmental Studies,222,Environmental Studies,"Degree (minor/major, certificate)","BES, Undergraduate Certificates",Gail Fraser,Noël Sturgeon
Academic,AC0100,Env Studies,Faculty of Environmental Studies,222,Environmental Studies,Graduate Degree,MES,Justin Podur,Noël Sturgeon
Academic,AC0110,Env Studies,Faculty of Environmental Studies,222,Environmental Studies,Graduate Degree,PhD,Justin Podur,Noël Sturgeon
Academic,AC0130,Fine Arts,Dance,801,Dance,"Degree (minor/major, certificate)",BA,Claire Wootten,Shawn Brixey
Academic,AC0140,Fine Arts,Dance,801,Dance,"Degree (minor/major, certificate)",BFA,Claire Wootten,Shawn Brixey
Academic,AC0150,Fine Arts,Dance,801,Dance,Graduate Degree,MFA,Darcey Callison,Shawn Brixey
Academic,AC0160,Fine Arts,Dance,801,Dance,Graduate Degree,MA,Claire Wooten,Shawn Brixey
Academic,AC0170,Fine Arts,Dance,801,Dance Studies,Graduate Degree,PhD,Claire Wooten,Shawn Brixey
Academic,AC0190,Fine Arts,Design,803,Design,"Degree (minor/major, certificate)",BDes,Angela Norwood,Shawn Brixey
Academic,AC0200,Fine Arts,Design,803,Design,Graduate Degree,MDes,David Gelb,Shawn Brixey
Academic,AC0220,Fine Arts,Digital Media,804,Digital Media,Degree (minor/major),BA,Don Sinclair,Shawn Brixey
Academic,AC0240,Fine Arts,Film,805,Film,Degree (minor/major),BA,John McCullough,Shawn Brixey
Academic,AC0250,Fine Arts,Film,805,Film,Degree (minor/major),BFA,John McCullough,Shawn Brixey
Academic,AC0260,Fine Arts,Film,805,Film,Graduate Degree,MFA,John Greyson,Shawn Brixey
Academic,AC0270,Fine Arts,Film,805,Cinema & Media Studies,Graduate Degree,MA,Brenda Longfellow,Shawn Brixey
Academic,AC0280,Fine Arts,Film,805,Cinema & Media Studies,Graduate Degree,PhD,Brenda Longfellow,Shawn Brixey
Academic,AC0300,Fine Arts,Music,806,Music,Degree (minor/major),BA,Bill Thomas,Shawn Brixey
Academic,AC0310,Fine Arts,Music,806,Music,Degree (minor/major),BFA,Bill Thomas,Shawn Brixey
Academic,AC0320,Fine Arts,Music,806,Music,Graduate Degree,MA,Michael Coghlan,Shawn Brixey
Academic,AC0330,Fine Arts,Music,806,Music,Graduate Degree,PhD,Michael Coghlan,Shawn Brixey
Academic,AC0350,Fine Arts,Theatre,16800,Theatre,Degree (minor/major),BA,Teresa Przybylski,Shawn Brixey
Academic,AC0360,Fine Arts,Theatre,16800,Theatre,Degree (minor/major),BFA,Teresa Przybylski,Shawn Brixey
Academic,AC0370,Fine Arts,Theatre,16800,Theatre,Graduate Degree,MFA,Eric Armstrong,Shawn Brixey
Academic,AC0390,Fine Arts,Theatre,16800,Theatre and Performance Studies,Graduate Degree,MA,Marlis Schweitzer,Shawn Brixey
Academic,AC0400,Fine Arts,Theatre,16800,Theatre and Performance Studies,Graduate Degree,PhD,Marlis Schweitzer,Shawn Brixey
Academic,AC0420,Fine Arts,Visual Arts,16850,Art History,Degree (minor/major),BA,Sarah Parsons,Shawn Brixey
Academic,AC0430,Fine Arts,Visual Arts,16850,Visual Arts,Degree (minor/major),BFA,Sarah Parsons,Shawn Brixey
Academic,AC0440,Fine Arts,Visual Arts,16850,Art History,Graduate Degree,MA,Sarah Parsons,Shawn Brixey
Academic,AC0450,Fine Arts,Visual Arts,16850,Art History & Visual Culture,Graduate Degree,PhD,Sarah Parsons,Shawn Brixey
Academic,AC0460,Fine Arts,Visual Arts,16850,Visual Arts,Graduate Degree,MFA,Nell Tenhaaf,Shawn Brixey
Academic,AC0470,Fine Arts,Visual Arts,16850,Visual Arts,Graduate Degree,PhD,Nell Tenhaaf,Shawn Brixey
Academic,AC0500,Glendon,Economics,17250,Business Economics,Degree (minor/major),"BA, iBA",Vincent Hildebrand,Donald Ipperciel
Academic,AC0510,Glendon,Economics,17250,Economics,Degree (minor/major),"BA, iBA",Vincent Hildebrand,Donald Ipperciel
Academic,AC0530,Glendon,English,17300,English Studies,"Degree (minor/major, certificate)","BA, iBA",Danielle Russell,Donald Ipperciel
Academic,AC0550,Glendon,French Studies,17350,French Studies,Degree (minor/major),"BA, iBA",Sylvie Rosienski,Donald Ipperciel
Academic,AC0570,Glendon,French Studies,17350,Études françaises,Graduate Degree,MA,Mario Roy,Donald Ipperciel
Academic,AC0580,Glendon,French Studies,17350,Études francophones,Graduate Degree,PhD,Mario Roy,Donald Ipperciel
Academic,AC0590,Glendon,Hispanic Studies,17900,Hispanic Studies,"Degree (minor/major, certificate)","BA, iBA",Esther Raventos-Pons,Donald Ipperciel
Academic,AC0610,Glendon,History,17400,History,Degree (minor/major),"BA, iBA",Gillian McGillivray,Donald Ipperciel
Academic,AC0630,Glendon,International Studies,17950,International Studies,Degree (minor/major),"BA, iBA",Stanislav J. Kirschbaum,Donald Ipperciel
Academic,AC0650,Glendon,Mathematics,17500,Mathematics,Degree (minor/major),"BA, iBA",David Spring,Donald Ipperciel
Academic,AC0670,Glendon,Multi Disciplinary Studies,17550,Environmental & Health Studies,Degree (minor/major),"BA, iBA",Radu Guiasu,Donald Ipperciel
Academic,AC0680,Glendon,Multi Disciplinary Studies,17550,Drama Studies,Degree (minor/major),"BA, iBA",Guillaume Bernardi,Donald Ipperciel
Academic,AC0690,Glendon,Multi Disciplinary Studies,17550,Individualized Studies,Degree (minor/major),"BA, iBA",Colin Coates,Donald Ipperciel
Academic,AC0700,Glendon,Multi Disciplinary Studies,17550,Linguistics and Languages,Degree (minor/major),BA,Ian Martin,Donald Ipperciel
Academic,AC0710,Glendon,Multi Disciplinary Studies,17550,Canadian Studies,Degree (minor/major),"BA, iBA",Geoffrey Ewen,Donald Ipperciel
Academic,AC0730,Glendon,Philosophy,17600,Philosophy,"Degree (minor/major, certificate)","BA, iBA",Doris Olin,Donald Ipperciel
Academic,AC0750,Glendon,Political Science,17650,Political science,Degree (minor/major),"BA, iBA",Ian Roberge,Donald Ipperciel
Academic,AC0770,Glendon,Psychology,17700,Psychology,Degree (minor/major),"BA, iBA",Timothy Moore,Donald Ipperciel
Academic,AC0790,Glendon,Public and International Affairs,9007,Public and International Affairs,Graduate Degree,MPIA,Michael Barutciski,Donald Ipperciel
Academic,AC0810,Glendon,Sociology,17750,Sociology,Degree (minor/major),"BA, iBA",Brian Singer,Donald Ipperciel
Academic,AC0830,Glendon,Womens Studies,18000,Gender and Women Studies,"Degree (minor/major, certificate)","BA, iBA",Gertrude Mianda,Donald Ipperciel
Academic,AC0850,Glendon,School of Translation,17800,Translation Studies,"Degree (minor/major, certificate)","BA, iBA",Marie-Christine Aubin,Donald Ipperciel
Academic,AC0860,Glendon,School of Translation,17800,Translation Studies,Graduate Degree,MA,Marie-Christine Aubin,Donald Ipperciel
Academic,AC0870,Glendon,School of Translation,17800,Conference Interpreting,Graduate Degree,MCI,Andrew Clifford,Donald Ipperciel
Research,AC0890,Glendon,Glendon,224,Centre for Research on Language Contact,ORU,,Dominique Scheffel-Dunand,Donald Ipperciel
Academic,AC0900,Health,Faculty of Health,226,Global Health,Undergradute Degree,BA,Beryl Pilkington,Harvey Skinner
Academic,AC0910,Health,Faculty of Health,226,Global Health,Undergradute Degree,BSc,Beryl Pilkington,Harvey Skinner
Academic,AC0920,Health,School of Hlth Policy&Mgmt,43200,Health Studies,"Degree (minor/major, certificate)",BHS,Lillie Lum,Harvey Skinner
Academic,AC0930,Health,School of Hlth Policy&Mgmt,43200,Health,Graduate Degree,MA,Lillie Lum,Harvey Skinner
Academic,AC0940,Health,School of Hlth Policy&Mgmt,43200,Health,Graduate Degree,PhD,Mary Wiktorowicz,Harvey Skinner
Academic,AC0950,Health,School of Hlth Policy&Mgmt,43200,Critical Disablity,Graduate Degree,MA,Lillie Lum,Harvey Skinner
Academic,AC0960,Health,School of Hlth Policy&Mgmt,43200,Critical Disablity,Graduate Degree,PhD,Mary Wiktorowicz,Harvey Skinner
Academic,AC0980,Health,Kinesiology & Health Scienc,21000,Kinesiology & Health Science,"Degree (minor/major, certificate)",BA,Angelo Belcastro,Harvey Skinner
Academic,AC0990,Health,Kinesiology & Health Scienc,21000,Kinesiology & Health Science,"Degree (minor/major, certificate)",BSc,Angelo Belcastro,Harvey Skinner
Academic,AC1000,Health,Kinesiology & Health Scienc,21000,Kinesiology & Health Science,Graduate Degree,MSc,Angelo Belcastro,Harvey Skinner
Academic,AC1010,Health,Kinesiology & Health Scienc,21000,Kinesiology & Health Science,Graduate Degree,MA,Angelo Belcastro,Harvey Skinner
Academic,AC1020,Health,Kinesiology & Health Scienc,21000,Kinesiology & Health Science,Graduate Degree,MFSc,Angelo Belcastro,Harvey Skinner
Academic,AC1030,Health,Kinesiology & Health Scienc,21000,Kinesiology & Health Science,Graduate Degree,PhD,Angelo Belcastro,Harvey Skinner
Academic,AC1050,Health,School of Nursing,13750,Nursing,Undergradute Degree,BScN,Claire Mallette,Harvey Skinner
Academic,AC1060,Health,School of Nursing,13750,Nursing,Undergradute Degree,BScN,Claire Mallette,Harvey Skinner
Academic,AC1070,Health,School of Nursing,13750,Nursing,Undergradute Degree,BScN,Claire Mallette,Harvey Skinner
Academic,AC1080,Health,School of Nursing,13750,Nursing,Graduate Degree,MScN,Claire Mallette,Harvey Skinner
Academic,AC1100,Health,Psychology,13400,Psychology,"Degree (minor/major, certificate)",BA,Suzanne Macdonald,Harvey Skinner
Academic,AC1110,Health,Faculty of Health,226,Psychology,"Degree (minor/major, certificate)",BSc,Suzanne Macdonald,Harvey Skinner
Academic,AC1120,Health,Psychology,13400,Psychology,Graduate Degree,MA,Suzanne Macdonald,Harvey Skinner
Academic,AC1130,Health,Psychology,13400,Psychology,Graduate Degree,PhD,Suzanne Macdonald,Harvey Skinner
Research,AC1160,Health,Faculty of Health,226,LaMarsh Centre for Child and Youth Research,ORU,,Yvonne Bohr,Harvey Skinner
Research,AC1170,Health,Faculty of Health,226,Muscle Health Research Centre,ORU,,David Hood,Harvey Skinner
Academic,AC1180,LA&PS,Anthropology,56550,Anthropology,Degree (Major/Minor/Certificate),"BA, iBA",Albert Schrauwers,Martin Singer
Academic,AC1190,LA&PS,Anthropology,56550,Anthropology – Social (Social Anthropology),Graduate Degree,MA,Albert Schrauwers,Martin Singer
Academic,AC1200,LA&PS,Anthropology,56550,Anthropology – Social (Social Anthropology),Graduate Degree,PhD,Albert Schrauwers,Martin Singer
Academic,AC1220,LA&PS,Communication Studies,57200,Communication Studies,Degree (Major/Minor/Certificate),"BA, iBA",Kevin Dowler,Martin Singer
Academic,AC1230,LA&PS,Communication Studies,57200,Communication & Culture,Graduate Degree,MA (with Ryerson),Kevin Dowler,Martin Singer
Academic,AC1240,LA&PS,Communication Studies,57200,Communication & Culture,Graduate Degree,PhD (with Ryerson),Kevin Dowler,Martin Singer
Academic,AC1260,LA&PS,Languages Lit Ling,56950,German Studies,Degree (Major/Minor/Certificate),"BA, iBA",Pietro Giordan,Martin Singer
Academic,AC1270,LA&PS,Languages Lit Ling,56950,Italian Culture,Degree (Major/Minor/Certificate),BA,Pietro Giordan,Martin Singer
Academic,AC1280,LA&PS,Languages Lit Ling,56950,Italian Studies,Degree (Major/Minor/Certificate),"BA, iBA",Pietro Giordan,Martin Singer
Academic,AC1290,LA&PS,Languages Lit Ling,56950,Japanese,Degree (Major/Minor/Certificate),BA,Pietro Giordan,Martin Singer
Academic,AC1300,LA&PS,Languages Lit Ling,56950,Linguistics,Degree (Major/Minor/Certificate),BA,Pietro Giordan,Martin Singer
Academic,AC1310,LA&PS,Languages Lit Ling,56950,Portugese Studies,Degree (Major/Minor/Certificate),BA,Pietro Giordan,Martin Singer
Academic,AC1320,LA&PS,Languages Lit Ling,56950,Spanish,Degree (Major/Minor/Certificate),BA,Pietro Giordan,Martin Singer
Academic,AC1325,LA&PS,Languages Lit Ling,56950,Non- Degree and Non-Certificate Languages,Non- Degree,Non-Degree Studies,Pietro Giordan,Martin Singer
Academic,AC1350,LA&PS,Languages Lit Ling,56950,Undergraduate Certificates,Degree (Major/Minor/Certificate),Certificate,Pietro Giordan,Martin Singer
Academic,AC1355,LA&PS,Languages Lit Ling,56950,ESL,Non- Degree,Non-Degree Studies,Pietro Giordan,Martin Singer
Academic,AC1360,LA&PS,Languages Lit Ling,56950,Linguistics & Applied Linguistics,Graduate Degree,MA,Pietro Giordan,Martin Singer
Academic,AC1370,LA&PS,Languages Lit Ling,56950,Linguistics & Applied Linguistics,Graduate Degree,PhD,Pietro Giordan,Martin Singer
Academic,AC1380,LA&PS,Economics,56600,Business Economics,Degree (Major/Minor/Certificate),BA,Mahmudul Anam,Martin Singer
Academic,AC1390,LA&PS,Economics,56600,Economics,Degree (Major/Minor/Certificate),BA,Mahmudul Anam,Martin Singer
Academic,AC1400,LA&PS,Economics,56600,Financial & Business Economics,Degree (Major/Minor/Certificate),BA,Mahmudul Anam,Martin Singer
Academic,AC1420,LA&PS,Economics,56600,Economics,Graduate Degree,MA,Mahmudul Anam,Martin Singer
Academic,AC1430,LA&PS,Economics,56600,Economics,Graduate Degree,PhD,Mahmudul Anam,Martin Singer
Academic,AC1440,LA&PS,English,56650,Creative Writing,Degree (Major/Minor/Certificate),BA,Jonathan Warren,Martin Singer
Academic,AC1450,LA&PS,English,56650,English,Degree (Major/Minor/Certificate),BA,Jonathan Warren,Martin Singer
Academic,AC1460,LA&PS,English,56650,English,Graduate Degree,MA,Jonathan Warren,Martin Singer
Academic,AC1470,LA&PS,English,56650,English,Graduate Degree,PhD,Jonathan Warren,Martin Singer
Academic,AC1480,LA&PS,Equity Studies,56700,Human Rights & Equity Studies,Degree (Major/Minor/Certificate),BA,Minoo Derayeh,Martin Singer
Academic,AC1490,LA&PS,Equity Studies,56700,Multicultural and Indigenous Studies,Degree (Major/Minor/Certificate),BA,Minoo Derayeh,Martin Singer
Academic,AC1510,LA&PS,French Studies,56750,French Studies,Degree (Major/Minor/Certificate),"BA, iBA",Monique Adriaen,Martin Singer
Academic,AC1540,LA&PS,"Gender, Sexuality and Women's Studies",9005,Gender and Women Studies,Degree (Major/Minor/Certificate),BA,Gertrude Mianda,Martin Singer
Academic,AC1550,LA&PS,"Gender, Sexuality and Women's Studies",9005,Sexuality Studies,Degree (Major/Minor/Certificate),"BA, iBA",Gertrude Mianda,Martin Singer
Academic,AC1560,LA&PS,"Gender, Sexuality and Women's Studies",9005,"Gender, Feminist & Women's Studies",Graduate Degree,MA,Gertrude Mianda,Martin Singer
Academic,AC1570,LA&PS,"Gender, Sexuality and Women's Studies",9005,"Gender, Feminist & Women's Studies",Graduate Degree,PhD,Gertrude Mianda,Martin Singer
Academic,AC1600,LA&PS,Geography,56800,Geography,Degree (Major/Minor/Certificate),"BA, iBA",Steven Tufts,Martin Singer
Academic,AC1610,LA&PS,Geography,56800,Geography and Urban Studies,Degree (Major/Minor/Certificate),BA,Steven Tufts,Martin Singer
Academic,AC1620,LA&PS,Geography,56800,Geography,Graduate Degree,MA,Steven Tufts,Martin Singer
Academic,AC1630,LA&PS,Geography,56800,Geography,Graduate Degree,MSc,Steven Tufts,Martin Singer
Academic,AC1640,LA&PS,Geography,56800,Geography,Graduate Degree,PhD,Steven Tufts,Martin Singer
Academic,AC1660,LA&PS,History,56850,History,Degree (Major/Minor/Certificate),"BA, iBA",Marcel Martel,Martin Singer
Academic,AC1670,LA&PS,History,56850,History,Graduate Degree,MA,Marcel Martel,Martin Singer
Academic,AC1680,LA&PS,History,56850,History,Graduate Degree,"PhD, (Ancient History with UoT)",Marcel Martel,Martin Singer
Academic,AC1700,LA&PS,Human Resources Mgmt,57150,Human Resources Management,Degree (Major/Minor/Certificate),BHRM,Marie-Helene Budworth,Martin Singer
Academic,AC1710,LA&PS,Human Resources Mgmt,57150,Human Resources Management,Graduate Degree,MHRM,Marie-Helene Budworth,Martin Singer
Academic,AC1720,LA&PS,Human Resources Mgmt,57150,Human Resources Management,Graduate Degree,PhD,Marie-Helene Budworth,Martin Singer
Academic,AC1740,LA&PS,Humanities,56900,Canadian Studies,Degree (Major/Minor/Certificate),BA,Martin Lockshin,Martin Singer
Academic,AC1750,LA&PS,Humanities,56900,Children's Studies,Degree (Major/Minor/Certificate),BA,Martin Lockshin,Martin Singer
Academic,AC1760,LA&PS,Humanities,56900,Classical Studies and Classics,Degree (Major/Minor/Certificate),BA,Martin Lockshin,Martin Singer
Academic,AC1770,LA&PS,Humanities,56900,Culture & Expression,Degree (Major/Minor/Certificate),BA,Martin Lockshin,Martin Singer
Academic,AC1780,LA&PS,Humanities,56900,East Asian Studies,Degree (Major/Minor/Certificate),BA,Martin Lockshin,Martin Singer
Academic,AC1790,LA&PS,Humanities,56900,European Studies,Degree (Major/Minor/Certificate),"BA, iBA",Martin Lockshin,Martin Singer
Academic,AC1800,LA&PS,Humanities,56900,Hellenic Studies,Degree (Major/Minor/Certificate),BA,Martin Lockshin,Martin Singer
Academic,AC1810,LA&PS,Humanities,56900,Humanities,Degree (Major/Minor/Certificate),"BA, iBA",Martin Lockshin,Martin Singer
Academic,AC1820,LA&PS,Humanities,56900,Individualized/Multidisciplinary Studies,Degree (Major/Minor/Certificate),BA,Martin Lockshin,Martin Singer
Academic,AC1830,LA&PS,Humanities,56900,Jewish Studies,Degree (Major/Minor/Certificate),BA,Martin Lockshin,Martin Singer
Academic,AC1840,LA&PS,Humanities,56900,Religious Studies,Degree (Major/Minor/Certificate),BA,Martin Lockshin,Martin Singer
Academic,AC1850,LA&PS,Science - STS,56900,Science and Technology Science,Degree (Major/Minor/Certificate),BA,Joan Steigerwald,Martin Singer
Academic,AC1860,LA&PS,Humanities,56900,US Studies,Degree (Major/Minor/Certificate),BA,Martin Lockshin,Martin Singer
Academic,AC1890,LA&PS,Humanities,56900,Humanities,Graduate Degree,MA,Martin Lockshin,Martin Singer
Academic,AC1900,LA&PS,Humanities,56900,Humanities,Graduate Degree,PhD,Martin Lockshin,Martin Singer
Academic,AC1910,LA&PS,Humanities,56900,Interdisciplinary Studies,Graduate Degree,MA,Martin Lockshin,Martin Singer
Academic,AC1920,LA&PS,Information Technology,57250,Information Technology,Degree (Major/Minor/Certificate),"BA, BAS",Jimmy Huang,Martin Singer
Academic,AC1930,LA&PS,Information Technology,57250,Information Systems & Technology,Graduate Degree,MA,Jimmy Huang,Martin Singer
Academic,AC1950,LA&PS,Philosophy,57000,Cognitive Science,Degree (Major/Minor/Certificate),BA,Robert Myers,Martin Singer
Academic,AC1960,LA&PS,Philosophy,57000,Philosophy,Degree (Major/Minor/Certificate),BA,Robert Myers,Martin Singer
Academic,AC1970,LA&PS,Philosophy,57000,Philosophy,Graduate Degree,MA,Robert Myers,Martin Singer
Academic,AC1980,LA&PS,Philosophy,57000,Philosophy,Graduate Degree,PhD,Robert Myers,Martin Singer
Academic,AC2010,LA&PS,Political Science,57050,Global Political Studies,Degree (Major/Minor/Certificate),BA,Ananya Mukherjee-Reed,Martin Singer
Academic,AC2020,LA&PS,Political Science,57050,Political Science,Degree (Major/Minor/Certificate),"BA, iBA",Ananya Mukherjee-Reed,Martin Singer
Academic,AC2030,LA&PS,Political Science,57050,Political Science,Graduate Degree,MA,Ananya Mukherjee-Reed,Martin Singer
Academic,AC2040,LA&PS,Political Science,57050,Political Science,Graduate Degree,PhD,Ananya Mukherjee-Reed,Martin Singer
Academic,AC2060,LA&PS,Public Policy & Admin,57300,Public Administration,Degree (Major/Minor/Certificate),BPA,James C. Simeon,Martin Singer
Academic,AC2080,LA&PS,Public Policy & Admin,57300,"Public Policy, Administration & Law",Graduate Degree,MPPAL,James C. Simeon,Martin Singer
Academic,AC2090,LA&PS,Public Policy & Admin,57100,Administrative Studies,Degree (Major/Minor/Certificate),BAS,Peggy Ng,Martin Singer
Academic,AC2100,LA&PS,Public Policy & Admin,57100,Business,Degree (Major/Minor/Certificate),,Peggy Ng,Martin Singer
Academic,AC2110,LA&PS,Public Policy & Admin,57100,Disaster & Emergency Management,Degree (Major/Minor/Certificate),BDEM,Peggy Ng,Martin Singer
Academic,AC2120,LA&PS,Public Policy & Admin,57100,Disaster & Emergency Management,Graduate Degree,MDEM,Peggy Ng,Martin Singer
Academic,AC2130,LA&PS,Public Policy & Admin,57100,Financial Accountability,Graduate Degree,MFAc,Peggy Ng,Martin Singer
Academic,AC2150,LA&PS,Social Science,57450,African Studies,Degree (Major/Minor/Certificate),BA,Kimberley White,Martin Singer
Academic,AC2160,LA&PS,Social Science,57450,Business & Society,Degree (Major/Minor/Certificate),BA,Kimberley White,Martin Singer
Academic,AC2170,LA&PS,Social Science,57450,Criminology,Degree (Major/Minor/Certificate),BA,Kimberley White,Martin Singer
Academic,AC2180,LA&PS,Social Science,57450,Health & Society,Degree (Major/Minor/Certificate),BA,Kimberley White,Martin Singer
Academic,AC2190,LA&PS,Social Science,57450,International Development Studies,Degree (Major/Minor/Certificate),BA,Kimberley White,Martin Singer
Academic,AC2200,LA&PS,Social Science,57450,Latin American & Caribbean Studies,Degree (Major/Minor/Certificate),BA,Kimberley White,Martin Singer
Academic,AC2210,LA&PS,Social Science,57450,Law and Society,Degree (Major/Minor/Certificate),BA,Kimberley White,Martin Singer
Academic,AC2230,LA&PS,Social Science,57450,Social Science,Degree (Major/Minor/Certificate),BA,Kimberley White,Martin Singer
Academic,AC2240,LA&PS,Social Science,57450,South Asian Studies,Degree (Major/Minor/Certificate),BA,Kimberley White,Martin Singer
Academic,AC2250,LA&PS,Social Science,57450,Urban Studies,Degree (Major/Minor/Certificate),"BA, iBA",Kimberley White,Martin Singer
Academic,AC2260,LA&PS,Social Science,57450,Work & Labour Studies,Degree (Major/Minor/Certificate),BA,Kimberley White,Martin Singer
Academic,AC2270,LA&PS,Social Science,57450,Development Studies,Graduate Degree,MA,Kimberley White,Martin Singer
Academic,AC2280,LA&PS,Social Science,57450,Social & Political Thought,Graduate Degree,MA,Kimberley White,Martin Singer
Academic,AC2290,LA&PS,Social Science,57450,Social & Political Thought,Graduate Degree,PhD,Kimberley White,Martin Singer
Academic,AC2300,LA&PS,Social Science,57450,Socio-Legal Studies,Graduate Degree,MA,Kimberley White,Martin Singer
Academic,AC2310,LA&PS,Social Science,57450,Socio-Legal Studies,Graduate Degree,PhD,Kimberley White,Martin Singer
Academic,AC2340,LA&PS,Social Work,57350,Social Work,Degree (Major/Minor/Certificate),BSW,Barbara Heron,Martin Singer
Academic,AC2350,LA&PS,Social Work,57350,Social Work,Graduate Degree,MSW,Barbara Heron,Martin Singer
Academic,AC2360,LA&PS,Social Work,57350,Social Work,Graduate Degree,PhD,Barbara Heron,Martin Singer
Academic,AC2380,LA&PS,Sociology,57500,Sociology,Degree (Major/Minor/Certificate),BA,Philip Walsh,Martin Singer
Academic,AC2390,LA&PS,Sociology,57500,Sociology,Graduate Degree,MA,Philip Walsh,Martin Singer
Academic,AC2400,LA&PS,Sociology,57500,Sociology,Graduate Degree,PhD,Philip Walsh,Martin Singer
Academic,AC2420,LA&PS,LAPS - Writing Department,57550,English & Professional Writing,Degree (Major/Minor/Certificate),BA,John Spencer,Martin Singer
Academic,AC2430,LA&PS,LAPS - Writing Department,57550,Professional Writing,Degree (Major/Minor/Certificate),BA,John Spencer,Martin Singer
Academic,AC2435,LA&PS,LAPS - Writing Department,57550,Writing Support,Non- Degree,Non-Degree Studies,John Spencer,Martin Singer
Research,AC2450,LA&PS,Faculty of Liberal Arts & Professional Studies,227,Global Labour Research Centre,ORU,,Mark Thomas,Martin Singer
Academic,AC2460,Lassonde,Electrical Engineering & Computer Science,9002,Computer Engineering,Undergraduate Degree,BASc,Rob Alison,Richard Hornsey
Academic,AC2470,Lassonde,Electrical Engineering & Computer Science,9002,Computer Engineering,Graduate Degree,MASc,Rick Wildes,Richard Hornsey
Academic,AC2480,Lassonde,Electrical Engineering & Computer Science,9002,Computer Science,Undergraduate Degree,"BA, iBA",Minas Spetsakis,Richard Hornsey
Academic,AC2490,Lassonde,Electrical Engineering & Computer Science,9002,Computer Science,Undergraduate Degree,"BSc, iBSc",Minas Spetsakis,Richard Hornsey
Academic,AC2500,Lassonde,Electrical Engineering & Computer Science,9002,Computer Science,Graduate Degree,MSc,Rick Wildes,Richard Hornsey
Academic,AC2510,Lassonde,Electrical Engineering & Computer Science,9002,Computer Science,Graduate Degree,PhD,Rick Wildes,Richard Hornsey
Academic,AC2520,Lassonde,Electrical Engineering & Computer Science,9002,Computer Security,Undergraduate Degree,BA,Minas Spetsakis,Richard Hornsey
Academic,AC2530,Lassonde,Electrical Engineering & Computer Science,9002,Computer Security,Undergraduate Degree,BSc,Minas Spetsakis,Richard Hornsey
Academic,AC2540,Lassonde,Electrical Engineering & Computer Science,9002,Electrical Engineering,Undergraduate Degree,BASc,Rob Alison,Richard Hornsey
Academic,AC2550,Lassonde,Electrical Engineering & Computer Science,9002,Software Engineering,Undergraduate Degree,BASc,Rob Alison,Richard Hornsey
Academic,AC2560,Lassonde,Electrical Engineering & Computer Science,9002,Digital Media,Undergraduate Degree,BA,Gunnar Gotshalks,Richard Hornsey
Academic,AC2570,Lassonde,Earth & Space Science & Engineering,9001,Geomatics Engineering,,BASc,Gunho Sohn,Richard Hornsey
Academic,AC2590,Lassonde,Earth & Space Science & Engineering,9001,Space Engineering,,BASc,Mike Daly,Richard Hornsey
Academic,AC2600,Lassonde,Earth & Space Science & Engineering,9001,Earth & Space Science,Graduate Degree,MSc,Sunil Bisnath,Richard Hornsey
